Name, TimePeriod, Value
World,2000,61.25434
World,2000,86.17919
World,2000,39.4361
World,2001,61.70454
World,2001,86.13555
World,2001,39.92612
World,2002,86.34688
World,2002,62.83692
World,2002,41.45364
World,2003,86.29749
World,2003,42.55228
World,2003,63.60941
World,2004,63.93015
World,2004,42.79121
World,2004,86.24792
World,2005,43.03233
World,2005,64.24246
World,2005,86.18039
World,2006,86.12835
World,2006,43.29615
World,2006,64.56688
World,2007,86.07311
World,2007,64.88221
World,2007,43.55946
World,2008,43.8296
World,2008,65.19863
World,2008,86.01056
World,2009,44.8021
World,2009,65.85203
World,2009,85.94473
World,2010,85.87328
World,2010,66.49626
World,2010,45.78517
World,2011,46.81956
World,2011,85.77981
World,2011,67.12907
World,2012,47.85402
World,2012,67.74305
World,2012,85.68166
World,2013,48.89293
World,2013,68.34628
World,2013,85.57937
World,2014,49.93764
World,2014,85.4778
World,2014,68.94266
World,2015,50.98648
World,2015,85.37737
World,2015,69.53274
World,2016,85.26961
World,2016,52.0242
World,2016,70.10356
World,2017,53.03716
World,2017,70.64488
World,2017,85.14748
South America,2000,34.03543
South America,2000,75.60702
South America,2000,86.25349
South America,2001,86.30349
South America,2001,34.48155
South America,2001,75.91852
South America,2002,86.35773
South America,2002,34.95614
South America,2002,76.21238
South America,2003,86.40964
South America,2003,76.49415
South America,2003,35.44391
South America,2004,35.93417
South America,2004,76.77114
South America,2004,86.46089
South America,2005,36.42992
South America,2005,77.04469
South America,2005,86.51233
South America,2006,36.9287
South America,2006,86.56326
South America,2006,77.31434
South America,2007,37.42953
South America,2007,77.56952
South America,2007,86.60122
South America,2008,37.90705
South America,2008,77.81132
South America,2008,86.63877
South America,2009,86.67661
South America,2009,38.37287
South America,2009,78.04478
South America,2010,38.83742
South America,2010,86.71444
South America,2010,78.27422
South America,2011,78.50122
South America,2011,86.75255
South America,2011,39.30371
South America,2012,78.72385
South America,2012,39.77202
South America,2012,86.7908
South America,2013,40.20471
South America,2013,78.93528
South America,2013,86.82917
South America,2014,79.14297
South America,2014,40.63796
South America,2014,86.86708
South America,2015,86.90259
South America,2015,41.0722
South America,2015,79.34542
South America,2016,41.48562
South America,2016,79.52892
South America,2016,86.92371
South America,2017,41.80703
South America,2017,79.68764
South America,2017,86.93652
Albania,2000,49.29324
Albania,2001,49.21738
Albania,2002,49.08154
Albania,2003,48.94225
Albania,2004,50.73476
Albania,2005,52.55115
Albania,2006,54.39092
Albania,2007,56.25379
Albania,2008,58.13946
Albania,2009,60.04764
Albania,2010,61.97766
Albania,2011,63.9291
Albania,2012,65.90139
Albania,2013,67.89334
Albania,2014,69.9037
Albania,2015,69.9445
Albania,2016,69.98433
Albania,2017,70.02315
Oceania,2000,91.55595
Oceania,2001,91.92473
Oceania,2002,92.2822
Oceania,2003,92.65559
Oceania,2004,93.02859
Oceania,2005,93.40905
Oceania,2006,93.78668
Oceania,2007,94.1613
Oceania,2008,94.53616
Oceania,2009,94.9124
Oceania,2010,95.29053
Oceania,2011,95.67037
Oceania,2012,96.05234
Oceania,2013,96.07796
Oceania,2014,96.09936
Oceania,2015,96.11511
Oceania,2016,96.12327
Oceania,2017,96.13017
Western Africa,2000,8.90365
Western Africa,2000,17.3098
Western Africa,2000,33.2393
Western Africa,2001,9.19708
Western Africa,2001,17.65321
Western Africa,2001,33.23879
Western Africa,2002,9.49685
Western Africa,2002,17.99695
Western Africa,2002,33.23406
Western Africa,2003,18.33778
Western Africa,2003,9.79592
Western Africa,2003,33.22427
Western Africa,2004,10.13621
Western Africa,2004,33.2175
Western Africa,2004,18.70389
Western Africa,2005,19.08562
Western Africa,2005,33.21659
Western Africa,2005,10.50326
Western Africa,2006,10.87684
